Under The Mango Tree - Jehan Numa Palace,0755 2661100,"Hotel Jehan Numa Palace, 157, Shymala Hills, TT Nagar, Bhopal",4.1,"₹2,000",7:30PM to 11PM (Mon-Sun),161 votes
Over The Moon Bistro,+91 7400556969,"G-1/109 Ajay Complex Near Punjab Bank, Fortune Pride, Trilanga, Bhopal",NEW,"₹1,500",11AM to 11PM (Mon-Sun),NEW
Khan Sahab,"+91 9584222666, +91 9229332535","Model Ground, Hamidia Road, Peer Gate Area, Bhopal",4,₹600,11AM to 11PM (Mon-Sun),87 votes
Bapu Ki Kutia,"0755 4273779, 0755 6444404","Behind Jyoti Cineplex, Zone 1, Maharana Pratap Nagar, Bhopal",3.4,₹550,8:30AM to 11PM (Mon-Sun),228 votes
Kafe Kulture,+91 9893769492,"A-66A, Jai Bhawani Housing Society, Bawadiyan Kalan, Gulmohar Colony, Bhopal",3.8,₹600,1PM to 11PM (Mon-Sun),138 votes
Amita's Delhi Darbar,"0755 4283002, 0755 4283006","IV Floor, GM Tower, Market 10, Arera Colony, Bhopal",3.6,₹800,11AM to 11PM (Mon-Sun),85 votes
Amer Bakery Hut (ABH),"+91 9630097158, +91 9109917330","New Market, Link Road, Bhopal, TT Nagar, Bhopal",3.7,₹300,11AM to 11PM (Mon-Sun),91 votes
Filfora,"+91 9752781786, 0755 4256926","18, BDA Colony,Opposite Koefiza Hospital, Kohefiza, Bhopal",3.4,₹800,11AM to 11PM (Mon-Sun),138 votes
Greek Food & Beyond,+91 7556644108,"Third Floor, DB City Mall, Maharana Pratap Nagar, Bhopal",3.7,"₹1,000",12Noon to 10:30PM (Mon-Sun),173 votes
Bhopal Express,0755 2660802,"Opposite Doordarshan Premises, Lake View, Shamla Hills, TT Nagar, Bhopal",4,₹800,11AM to 11PM (Mon-Sun),126 votes
Arya Bhawan Restaurant,+91 7554271623,"231, Chinar House, Behind Sargam Cinema, Maharana Pratap Nagar, Bhopal",3.8,₹400,9AM to 11PM (Mon-Sun),101 votes
The Kasbah,"0755 4224757, +91 7771008810","110/7, Mandakini, Opposite Union Bank, Kolar Main Road, Arera Colony, Bhopal",3.6,₹700,11AM to 11PM (Mon-Sun),174 votes
CafeChino - Jehan Numa Palace,"0755 2661100, +91 9993091077","Hotel Jehan Numa Palace, 157, Shamla Hills, TT Nagar, Bhopal",3.9,₹800,10:30AM to 11PM (Mon-Sun),106 votes
