Bhoj Inn Restaurant - On D ..,"STC Palm Square Building, Airport Road, Lalghati, Bhopal - 462030, Above Axis Bank (Map)",4.2,-9152564239,82,https://www.justdial.com/Bhopal/Bhoj-Inn-Restaurant-On-D-Rocks-Above-Axis-Bank-Lalghati/0755PX755-X755-120712131031-T5E2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:30 am - 11:00 pm
Food Craft Restaurant,"Plot No 8, Mandakani Society, Kolar Road, Bhopal - 462042, Near Bank Of Maharashtra (Map)",4,-9152485848,130,https://www.justdial.com/Bhopal/Food-Craft-Restaurant-Near-Bank-Of-Maharashtra-Kolar-Road/0755P755STD2700367_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:00 am - 11:00 pm
The Urban Grill,"Shop No 5, Sahyog Tower, Aura Mall Road, Gulmohar Colony, Bhopal - 462039, Trilanga Tiraha, Opp Makhanlal University (Map)",4.2,-9152444307,10,https://www.justdial.com/Bhopal/The-Urban-Grill-Trilanga-Tiraha-Opp-Makhanlal-University-Gulmohar-Colony/0755PX755-X755-161207115327-E6W6_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,07:00 pm - 11:00 pm
Hakeem Hotel,"Shop No 4 A, 5 B, Tt Nagar Road, T T Nagar, Bhopal - 462003, Behind Jama Masjid (Map)",4.2,-9152549029,281,https://www.justdial.com/Bhopal/Hakeem-Hotel-Behind-Jama-Masjid-T-T-Nagar/0755P755STD20025_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 10:30 pm
Qrawcity The Lounge & Resta..,"Plot No. 96/114 Johri Regency, Birla Mandir Road, New Market, Bhopal - 462003, In Front Of Top N Town (Map)",4.8,-9152862154,10,https://www.justdial.com/Bhopal/Qrawcity-The-Lounge-Restaurant-In-Front-Of-Top-N-Town-New-Market/0755PX755-X755-170609111005-T2M4_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:30 pm
Gandhidham Restaurant,"Shop no. 3, Roshanpura Square Road, Tt Nagar, Bhopal - 462003, Near Raj Bhawan (Map)",4.3,-9152578796,8,https://www.justdial.com/Bhopal/Gandhidham-Restaurant-Near-Raj-Bhawan-Tt-Nagar/0755PX755-X755-130424110452-W3I7_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,09:30 am - 10:00 pm
Sagar Bhojnalaya,"Shop No: 10, 11, Banjari Square, Kolar Road, Bhopal - 462042, BGS Honda Kolar (Map)",5,-9152819020,3,https://www.justdial.com/Bhopal/Sagar-Bhojnalaya-BGS-Honda-Kolar-Kolar-Road/0755PX755-X755-170711150926-A8L9_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Delicious Time,"Plot No 45, Shop No L 3, S K Plaza Banjari Housing Society, Kolar Road, Bhopal - 462042, Near Beema Kunj (Map)",5,-9152847707,1,https://www.justdial.com/Bhopal/Delicious-Time-Near-Beema-Kunj-Kolar-Road/0755PX755-X755-180530191138-T8A2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,12:00 pm - 11:00 pm
Jail Kaid Khana Restaurant,"Sharwdharam Shaadi Hall, Banjari Chouraha, Kolar Road, Bhopal - 462042, Near BGS Honda Showroom (Map)",4.6,-9152967223,9,https://www.justdial.com/Bhopal/Jail-Kaid-Khana-Restaurant-Near-BGS-Honda-Showroom-Kolar-Road/0755PX755-X755-180112181607-B9H2_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,11:00 am - 11:00 pm
Angara Restaurant,"Plot No 166, M P Nagar, Bhopal - 462011, Zone 2,Near Andra Bank,Mahindra Coaching Lane (Map)",4.3,-9152635395,2,https://www.justdial.com/Bhopal/Angara-Restaurant-Zone-2-Near-Andra-Bank-Mahindra-Coaching-Lane-M-P-Nagar/0755PX755-X755-170818185909-J1J1_BZDET?xid=QmhvcGFsIFJlc3RhdXJhbnRz,10:00 am - 11:00 pm
