,np1,np2,ap1,ap2,label
61903,0,0,5.882352941,9.090909091,0
54999,0,0,7.692307692,11.11111111,0
94386,0,0,21.05263158,57.14285714,1
48188,0,0,25,42.85714286,0
97920,0,0,10.52631579,18.18181818,0
17407,0,0,25,33.33333333,0
53797,0,0,7.692307692,14.28571429,0
35800,0,0,6.25,20,0
45844,0,0,12.5,12.5,0
11243,0,0,6.666666667,20,0
21297,0,0,11.11111111,33.33333333,0
45486,0,0,5.882352941,6.666666667,0
47778,0,0,23.07692308,33.33333333,0
27466,0,0,13.33333333,28.57142857,0
5081,0,0,5.263157895,11.11111111,0
105437,33.33333333,66.66666667,7.142857143,9.090909091,1
66393,0,0,12.5,28.57142857,0
91410,0,0,26.31578947,45.45454545,0
7083,0,0,10,11.11111111,0
15214,0,0,14.28571429,18.18181818,0
90084,0,0,8,16.66666667,0
1343,0,0,11.76470588,28.57142857,0
64766,0,0,0,0,0
90587,0,0,8.333333333,10,0
4057,0,0,12.5,25,0
57657,0,0,11.11111111,18.18181818,0
84444,0,0,8.333333333,6.666666667,0
20180,0,0,6.25,10,0
75684,0,0,11.11111111,12.5,0
7853,0,0,17.64705882,21.42857143,0
57003,0,0,13.33333333,18.18181818,0
3631,0,0,7.142857143,12.5,0
96775,0,0,15.38461538,16.66666667,0
94529,0,0,5,8.333333333,0
103443,0,0,25,15.38461538,0
18057,0,0,13.33333333,18.18181818,0
57717,0,0,5.555555556,9.090909091,0
3102,0,0,11.76470588,20,0
44812,0,0,15.38461538,16.66666667,0
106998,0,0,20,40,0
109219,0,0,5.882352941,12.5,0
39744,0,0,7.692307692,12.5,0
86954,0,0,14.28571429,18.18181818,0
24838,0,0,7.142857143,11.11111111,0
10260,0,0,16.66666667,21.42857143,0
73932,0,0,16.66666667,18.18181818,0
73630,0,0,0,0,0
111927,0,0,9.090909091,16.66666667,0
2584,0,0,14.28571429,15.38461538,0
99163,50,50,27.77777778,55.55555556,1
62772,0,0,6.666666667,12.5,0
70247,0,0,5.882352941,10,0
114251,0,0,18.18181818,25,0
4491,0,0,7.142857143,12.5,0
61911,0,0,5.882352941,12.5,0
13497,0,0,15.38461538,22.22222222,0
116136,0,0,11.11111111,14.28571429,0
38500,0,0,5.882352941,16.66666667,0
5320,0,0,7.692307692,9.090909091,0
47634,0,0,15.38461538,20,0
82447,0,0,16.66666667,50,0
6190,0,0,20,23.07692308,0
