,np1,np2,ap1,ap2
102979,0.0,0.0,8.333333333333332,14.285714285714285
41062,0.0,0.0,10.526315789473683,16.666666666666664
98294,0.0,0.0,11.111111111111109,20.0
79559,0.0,0.0,18.181818181818183,40.0
109891,0.0,0.0,6.25,8.333333333333332
102126,0.0,0.0,14.285714285714285,16.666666666666664
88591,0.0,0.0,12.5,28.57142857142857
53249,0.0,0.0,12.5,22.222222222222218
78599,0.0,0.0,0.0,0.0
106929,0.0,0.0,20.0,20.0
57419,0.0,0.0,22.222222222222218,40.0
50703,0.0,0.0,22.222222222222218,22.222222222222218
37160,0.0,0.0,11.111111111111109,10.0
21232,0.0,0.0,5.5555555555555545,16.666666666666664
108634,0.0,0.0,6.666666666666668,14.285714285714285
28534,0.0,0.0,9.090909090909092,10.0
13980,0.0,0.0,13.333333333333336,22.222222222222218
66215,0.0,0.0,0.0,0.0
10820,0.0,0.0,5.0,12.5
115542,0.0,0.0,11.111111111111109,11.111111111111109
16831,0.0,0.0,5.5555555555555545,20.0
67676,0.0,0.0,15.384615384615385,16.666666666666664
53321,0.0,0.0,8.695652173913043,20.0
94725,0.0,0.0,5.0,11.111111111111109
54445,0.0,0.0,11.764705882352938,18.181818181818183
11267,0.0,0.0,7.142857142857142,16.666666666666664
8501,0.0,0.0,13.333333333333336,25.0
65537,0.0,0.0,6.25,9.090909090909092
114956,0.0,0.0,12.5,11.111111111111109
67542,0.0,0.0,7.6923076923076925,11.111111111111109
82378,0.0,0.0,16.666666666666664,37.5
47915,0.0,0.0,7.6923076923076925,14.285714285714285
75513,0.0,0.0,22.222222222222218,20.0
88449,0.0,0.0,14.285714285714285,15.384615384615385
112037,0.0,0.0,9.090909090909092,9.090909090909092
85025,0.0,0.0,6.666666666666668,9.090909090909092
60805,0.0,0.0,9.090909090909092,16.666666666666664
46006,0.0,0.0,12.5,12.5
74263,0.0,0.0,16.666666666666664,30.0
93246,0.0,0.0,5.5555555555555545,25.0
29296,0.0,0.0,5.5555555555555545,10.0
2758,0.0,0.0,14.285714285714285,33.33333333333333
60156,0.0,0.0,26.66666666666667,36.36363636363637
35631,0.0,0.0,6.25,11.111111111111109
51600,0.0,0.0,10.526315789473683,22.222222222222218
89364,0.0,0.0,5.882352941176469,20.0
67987,0.0,0.0,7.142857142857142,14.285714285714285
103195,0.0,0.0,25.0,18.181818181818183
100331,0.0,0.0,14.285714285714285,11.111111111111109
49161,0.0,0.0,8.333333333333332,12.5
49514,0.0,0.0,7.142857142857142,11.111111111111109
66195,0.0,0.0,20.0,28.57142857142857
24420,0.0,0.0,18.181818181818183,18.181818181818183
106482,0.0,0.0,14.285714285714285,25.0
96714,0.0,0.0,5.5555555555555545,12.5
85039,0.0,0.0,6.666666666666668,10.0
27583,0.0,0.0,6.666666666666668,9.090909090909092
113761,0.0,0.0,0.0,0.0
71857,0.0,0.0,7.142857142857142,16.666666666666664
93530,0.0,0.0,9.090909090909092,12.5
8793,0.0,0.0,16.666666666666664,22.222222222222218
28144,0.0,0.0,9.090909090909092,14.285714285714285
71843,0.0,0.0,14.285714285714285,28.57142857142857
94560,0.0,0.0,5.0,6.666666666666668
111911,0.0,0.0,9.090909090909092,11.111111111111109
